system:time_start,LST_C_L5
"Apr 13, 1984",-2.793
"Apr 29, 1984",2.9
"Apr 29, 1984",3.447
"May 31, 1984",-10.47
"May 31, 1984",-10.469
"Jun 25, 1984",-3.883
"Jul 11, 1984",35.955
"Sep 29, 1984",
"Oct 15, 1984",
"Oct 31, 1984",13.04
"Nov 7, 1984",6.552
"Nov 7, 1984",
"Dec 2, 1984",
"Dec 9, 1984",
"Jan 10, 1985",-19.431
"Jan 19, 1985",-21.009
"Feb 11, 1985",-19.431
"Feb 11, 1985",-20.093
"Feb 27, 1985",
"Feb 27, 1985",
"Mar 15, 1985",
"Mar 24, 1985",
"Mar 31, 1985",
"Mar 31, 1985",
"Apr 16, 1985",
"May 2, 1985",
"May 2, 1985",
"May 11, 1985",
"May 18, 1985",
"Aug 31, 1985",23.088
"Feb 7, 1986",
"Feb 23, 1986",
"Apr 28, 1986",17.869
"May 14, 1986",
"Jun 15, 1986",24.945
"Jul 1, 1986",28.131
"Jul 17, 1986",
"Aug 2, 1986",25.222
"Aug 18, 1986",
"Sep 3, 1986",
"Sep 19, 1986",12.386
"Oct 21, 1986",
"Jan 25, 1987",
"Feb 1, 1987",-19.078
"Feb 1, 1987",-20.929
"Feb 26, 1987",-8.843
"Mar 5, 1987",-13.699
"Mar 5, 1987",-13.89
"Mar 14, 1987",-8.324
"Mar 21, 1987",
"Mar 21, 1987",
"Mar 30, 1987",
"Apr 6, 1987",
"Apr 22, 1987",
"May 1, 1987",20.608
"May 8, 1987",
"May 8, 1987",
"May 17, 1987",
"May 24, 1987",
"May 24, 1987",
"Jun 2, 1987",
"Jul 4, 1987",
"Jul 11, 1987",21.53
"Jul 11, 1987",21.545
"Jul 20, 1987",
"Jul 27, 1987",
"Aug 12, 1987",
"Aug 12, 1987",
"Aug 21, 1987",
"Sep 13, 1987",
"Sep 22, 1987",
"Sep 29, 1987",
"Oct 8, 1987",
"Oct 15, 1987",
"Oct 24, 1987",
"Oct 31, 1987",3.958
"Oct 31, 1987",3.875
"Jan 19, 1988",
"Feb 20, 1988",
"Feb 20, 1988",
"Feb 29, 1988",
"Apr 24, 1988",-3.31
"Apr 24, 1988",-3.316
"May 3, 1988",
"Jul 6, 1988",
"Jul 22, 1988",
"Aug 7, 1988",22.32
"Sep 8, 1988",16.992
"Sep 24, 1988",
"Oct 1, 1988",
"Oct 1, 1988",
"Oct 17, 1988",14.012
"Oct 17, 1988",14.039
"Oct 26, 1988",-1.088
"Nov 11, 1988",-6.158
"Jan 30, 1989",-8.843
"Mar 19, 1989",-1.38
"Jun 7, 1989",22.223
"Jun 23, 1989",
"Jul 25, 1989",
"Aug 10, 1989",
"Aug 26, 1989",
"Sep 11, 1989",19.622
"Oct 13, 1989",
"Nov 14, 1989",
"Feb 2, 1990",
"Feb 18, 1990",
"Mar 6, 1990",
"Mar 22, 1990",
"May 9, 1990",24.233
"Jun 10, 1990",
"Jul 12, 1990",23.71
"Jul 28, 1990",24.875
"Aug 13, 1990",27.259
"Aug 29, 1990",24.905
"Sep 30, 1990",
"Oct 16, 1990",15.874
"Jan 20, 1991",-16.483
"Feb 12, 1991",
"Feb 12, 1991",
"Feb 28, 1991",-7.464
"Mar 16, 1991",5.73
"Mar 16, 1991",
"Apr 10, 1991",
"May 28, 1991",
"Jun 13, 1991",
"Jul 15, 1991",
"Jul 31, 1991",
"Aug 16, 1991",22.925
"Sep 1, 1991",
"Oct 3, 1991",
"Oct 19, 1991",
"Apr 12, 1992",-0.775
"Apr 28, 1992",
"May 14, 1992",
"May 30, 1992",
"Jul 1, 1992",28.468
"Jul 17, 1992",22.43
"Aug 2, 1992",
"Sep 3, 1992",
"Sep 19, 1992",16.127
"Nov 6, 1992",
"Jan 25, 1993",
"Mar 14, 1993",-2.696
"Mar 30, 1993",
"Apr 15, 1993",-2.917
"May 1, 1993",23.031
"May 17, 1993",23.351
"Jun 2, 1993",25.442
"Jun 18, 1993",
"Jun 25, 1993",
"Jun 25, 1993",
"Jul 4, 1993",
"Jul 20, 1993",
"Jul 27, 1993",
"Jul 27, 1993",
"Aug 5, 1993",22.311
"Aug 21, 1993",
"Sep 6, 1993",12.658
"Sep 22, 1993",13.653
"Sep 29, 1993",
"Sep 29, 1993",
"Oct 8, 1993",
"Oct 15, 1993",
"Oct 15, 1993",
"Feb 13, 1994",
"Mar 17, 1994",
"Apr 2, 1994",
