system:time_start,LST_C_L5
"Apr 13, 1984",-2.517
"Apr 29, 1984",2.137
"Apr 29, 1984",2.9
"May 31, 1984",-10.002
"May 31, 1984",-10.001
"Jun 25, 1984",-6.415
"Jul 11, 1984",34.73
"Sep 29, 1984",
"Oct 15, 1984",
"Oct 31, 1984",12.444
"Nov 7, 1984",5.465
"Nov 7, 1984",
"Dec 2, 1984",
"Dec 9, 1984",
"Jan 10, 1985",-19.431
"Jan 19, 1985",-20.798
"Feb 11, 1985",-18.775
"Feb 11, 1985",-19.431
"Feb 27, 1985",
"Feb 27, 1985",
"Mar 15, 1985",
"Mar 24, 1985",
"Mar 31, 1985",
"Mar 31, 1985",
"Apr 16, 1985",
"May 2, 1985",
"May 2, 1985",
"May 11, 1985",
"May 18, 1985",
"Aug 31, 1985",21.138
"Feb 7, 1986",
"Feb 23, 1986",
"Apr 28, 1986",17.104
"May 14, 1986",
"Jun 15, 1986",23.885
"Jul 1, 1986",25.56
"Jul 17, 1986",
"Aug 2, 1986",22.693
"Aug 18, 1986",
"Sep 3, 1986",
"Sep 19, 1986",
"Oct 21, 1986",
"Jan 25, 1987",
"Feb 1, 1987",-19.113
"Feb 1, 1987",-20.484
"Feb 26, 1987",-8.843
"Mar 5, 1987",-13.699
"Mar 5, 1987",-13.699
"Mar 14, 1987",-8.52
"Mar 21, 1987",
"Mar 21, 1987",
"Mar 30, 1987",
"Apr 6, 1987",
"Apr 22, 1987",
"May 1, 1987",
"May 8, 1987",
"May 8, 1987",
"May 17, 1987",
"May 24, 1987",
"May 24, 1987",
"Jun 2, 1987",
"Jul 4, 1987",
"Jul 11, 1987",19.053
"Jul 11, 1987",19.026
"Jul 20, 1987",
"Jul 27, 1987",
"Aug 12, 1987",
"Aug 12, 1987",
"Aug 21, 1987",
"Sep 13, 1987",
"Sep 22, 1987",
"Sep 29, 1987",
"Oct 8, 1987",
"Oct 15, 1987",
"Oct 24, 1987",
"Oct 31, 1987",4.084
"Oct 31, 1987",4.205
"Jan 19, 1988",
"Feb 20, 1988",
"Feb 20, 1988",
"Feb 29, 1988",
"Apr 24, 1988",
"Apr 24, 1988",
"May 3, 1988",
"May 10, 1988",
"May 10, 1988",
"Jul 6, 1988",
"Jul 22, 1988",
"Aug 7, 1988",20.718
"Sep 8, 1988",15.392
"Sep 24, 1988",
"Oct 1, 1988",
"Oct 1, 1988",
"Oct 17, 1988",13.179
"Oct 17, 1988",12.953
"Oct 26, 1988",-1.585
"Nov 11, 1988",-6.363
"Jan 30, 1989",
"Mar 19, 1989",-1.582
"Jun 7, 1989",18.89
"Jun 23, 1989",
"Jul 25, 1989",
"Aug 10, 1989",
"Aug 26, 1989",
"Sep 11, 1989",17.547
"Oct 13, 1989",
"Nov 14, 1989",
"Feb 2, 1990",
"Feb 18, 1990",
"Mar 6, 1990",
"Mar 22, 1990",
"Apr 30, 1990",
"Apr 30, 1990",
"May 9, 1990",21.886
"Jun 10, 1990",
"Jul 12, 1990",20.765
"Jul 28, 1990",23.476
"Aug 13, 1990",26.109
"Aug 29, 1990",23.281
"Sep 30, 1990",
"Oct 16, 1990",14.908
"Jan 20, 1991",-16.483
"Feb 12, 1991",
"Feb 12, 1991",
"Feb 28, 1991",-7.648
"Mar 16, 1991",4.797
"Mar 16, 1991",4.041
"Apr 10, 1991",9.08
"May 28, 1991",
"Jun 13, 1991",
"Jul 15, 1991",
"Jul 31, 1991",
"Aug 16, 1991",21.305
"Sep 1, 1991",15.597
"Oct 3, 1991",
"Oct 19, 1991",
"Apr 12, 1992",-0.003
"Apr 28, 1992",
"May 14, 1992",
"May 30, 1992",
"Jul 1, 1992",27
"Jul 17, 1992",20.439
"Aug 2, 1992",
"Sep 3, 1992",
"Sep 19, 1992",13.997
"Nov 6, 1992",
"Jan 25, 1993",
"Mar 5, 1993",
"Mar 14, 1993",-2.878
"Mar 21, 1993",
"Mar 21, 1993",
"Mar 30, 1993",
"Apr 15, 1993",-2.343
"May 1, 1993",22.639
"May 17, 1993",20.866
"Jun 2, 1993",22.079
"Jun 18, 1993",
"Jun 25, 1993",
"Jun 25, 1993",
"Jul 4, 1993",
"Jul 20, 1993",
"Jul 27, 1993",
"Jul 27, 1993",
"Aug 5, 1993",21.178
"Aug 12, 1993",
"Aug 12, 1993",
"Aug 21, 1993",
"Sep 6, 1993",11.128
"Sep 22, 1993",
"Sep 29, 1993",
"Sep 29, 1993",
"Oct 8, 1993",
"Oct 15, 1993",
"Oct 15, 1993",
"Feb 13, 1994",
"Mar 17, 1994",
"Apr 2, 1994",
"Apr 18, 1994",
"May 4, 1994",3.403
"Jun 5, 1994",
"Jun 21, 1994",18.654
"Jul 7, 1994",
"Jul 23, 1994",28.57
"Aug 8, 1994",18.723
"Aug 24, 1994",
"Sep 9, 1994",
"Sep 25, 1994",
"Oct 11, 1994",6.992
"Oct 27, 1994",
"Nov 12, 1994",
"Jan 31, 1995",
"Feb 16, 1995",
"Mar 20, 1995",
"Apr 5, 1995",-2.093
"Apr 21, 1995",1.237
"May 23, 1995",17.762
"Jun 24, 1995",
"Jul 10, 1995",27.451
"Aug 11, 1995",16.064
"Sep 12, 1995",
"Nov 15, 1995",
"Feb 10, 1996",
"Feb 10, 1996",
"Feb 26, 1996",-7.628
"Feb 26, 1996",-7.628
"Mar 13, 1996",
"Mar 13, 1996",
"Mar 29, 1996",
"Apr 7, 1996",-1.547
"Apr 23, 1996",
"Apr 30, 1996",
"Apr 30, 1996",
"May 25, 1996",
"Jun 1, 1996",27.079
"Jun 1, 1996",27.293
"Jun 10, 1996",23.973
"Jun 17, 1996",15.548
"Jun 17, 1996",
"Jun 26, 1996",
"Jul 3, 1996",
"Jul 3, 1996",
"Jul 19, 1996",
"Jul 28, 1996",
"Aug 4, 1996",
"Aug 4, 1996",
"Aug 13, 1996",
"Aug 20, 1996",
"Aug 20, 1996",19
"Aug 29, 1996",
"Sep 5, 1996",
"Sep 5, 1996",
"Sep 21, 1996",
"Sep 30, 1996",
"Oct 7, 1996",
"Oct 16, 1996",
"Oct 23, 1996",
"Nov 8, 1996",
"Jan 27, 1997",-10.28
"Jan 27, 1997",-10.28
"Mar 16, 1997",
"Mar 16, 1997",
"Apr 1, 1997",
"Apr 1, 1997",
"Apr 10, 1997",
"May 3, 1997",
"May 3, 1997",
"May 19, 1997",
"Jun 4, 1997",
"Jun 4, 1997",
"Jun 13, 1997",
"Jun 29, 1997",26.482
"Jul 15, 1997",16.118
"Jul 22, 1997",
"Jul 22, 1997",
"Jul 31, 1997",
"Aug 7, 1997",20.858
"Aug 7, 1997",20.846
"Aug 16, 1997",19.835
"Aug 23, 1997",
"Sep 1, 1997",19.447
"Sep 8, 1997",
"Sep 8, 1997",
"Sep 17, 1997",15.559
"Nov 4, 1997",
"Nov 11, 1997",
"Nov 20, 1997",-6.458
"Nov 27, 1997",
"Dec 6, 1997",-7.628
"Jan 14, 1998",-1.782
"Jan 30, 1998",
"Feb 8, 1998",
"Mar 19, 1998",
"Mar 19, 1998",
"Apr 4, 1998",
"Apr 4, 1998",
"Apr 13, 1998",
"Apr 29, 1998",
"May 15, 1998",
"May 31, 1998",
"Jun 7, 1998",32.799
"Jun 7, 1998",33.023
"Jun 16, 1998",
"Jul 9, 1998",
"Jul 9, 1998",
"Aug 10, 1998",23.161
"Aug 10, 1998",23.168
"Aug 19, 1998",
"Aug 26, 1998",
"Sep 11, 1998",
"Sep 20, 1998",
"Sep 27, 1998",
"Oct 13, 1998",
"Oct 13, 1998",
"Oct 22, 1998",
"Nov 7, 1998",
"Nov 14, 1998",
"Nov 14, 1998",
"Dec 16, 1998",
"Jan 17, 1999",-5.224
"Feb 27, 1999",-2.878
"May 2, 1999",15.275
"May 18, 1999",17.86
"Jun 3, 1999",
"Jul 5, 1999",29.454
"Jul 21, 1999",
"Aug 6, 1999",
"Aug 22, 1999",
"Sep 7, 1999",
"Sep 23, 1999",
"Oct 25, 1999",
"Dec 3, 1999",
"Jan 13, 2000",-11.069
"May 4, 2000",
"May 27, 2000",
"Jun 5, 2000",26.044
"Jun 12, 2000",
"Jun 28, 2000",
"Jul 23, 2000",
"Aug 8, 2000",
"Aug 15, 2000",28.005
"Aug 15, 2000",28.021
"Sep 9, 2000",16.637
"Oct 27, 2000",
"Nov 3, 2000",
"Nov 3, 2000",
"Nov 19, 2000",1.303
"Nov 19, 2000",0.796
"Jan 15, 2001",-9.049
"May 23, 2001",20.632
"Jun 24, 2001",
"Jul 26, 2001",
"Aug 11, 2001",15.745
"Aug 27, 2001",
"Nov 15, 2001",-2.42
"Feb 3, 2002",-1.686
"Feb 19, 2002",
"Mar 7, 2002",
"Jun 11, 2002",
"Jun 27, 2002",25.277
"Jul 16, 2003",
"Jul 23, 2003",
"Jul 23, 2003",
"Aug 1, 2003",22.145
"Aug 8, 2003",18.189
"Aug 17, 2003",25.246
"Aug 24, 2003",
