system:time_start,LST_C_L8
"Mar 29, 2013",
"Apr 13, 2013",
"Apr 13, 2013",
"Apr 22, 2013",
"Jun 9, 2013",
"Jun 16, 2013",
"Jun 16, 2013",
"Jul 2, 2013",20.726
"Jul 2, 2013",20.695
"Jul 18, 2013",
"Jul 18, 2013",
"Jul 27, 2013",27.406
"Aug 3, 2013",31
"Aug 3, 2013",31.014
"Aug 12, 2013",18.271
"Aug 19, 2013",
"Aug 19, 2013",
"Aug 28, 2013",
"Sep 13, 2013",
"Sep 29, 2013",8.419
"Oct 15, 2013",
"Oct 22, 2013",
"Oct 22, 2013",
"Oct 31, 2013",5.098
"Nov 16, 2013",0.126
"Dec 2, 2013",-1.662
"Dec 18, 2013",
"Jan 3, 2014",
"Jan 19, 2014",
"Feb 4, 2014",-1.727
"Feb 20, 2014",
"Mar 8, 2014",5.154
"Apr 9, 2014",
"Apr 25, 2014",14.048
"May 11, 2014",
"Jun 3, 2014",
"Jun 3, 2014",
"Jun 12, 2014",
"Jun 19, 2014",
"Jun 28, 2014",
"Jul 5, 2014",
"Jul 5, 2014",
"Jul 14, 2014",17.482
"Jul 21, 2014",
"Jul 21, 2014",
"Jul 30, 2014",
"Aug 6, 2014",
"Aug 6, 2014",
"Aug 15, 2014",
"Aug 22, 2014",14.864
"Aug 22, 2014",14.897
"Aug 31, 2014",
"Sep 7, 2014",17.792
"Sep 7, 2014",17.701
"Sep 16, 2014",
"Sep 23, 2014",
"Oct 2, 2014",
"Oct 9, 2014",
"Oct 9, 2014",
"Oct 18, 2014",
"Oct 25, 2014",
"Oct 25, 2014",
"Nov 3, 2014",
"Nov 10, 2014",
"Nov 10, 2014",
"Nov 26, 2014",-0.895
"Nov 26, 2014",-1.078
"Dec 12, 2014",
"Dec 12, 2014",
"Dec 21, 2014",
"Dec 28, 2014",
"Jan 6, 2015",-9.106
"Jan 13, 2015",-0.836
"Jan 13, 2015",-0.87
"Jan 29, 2015",
"Jan 29, 2015",
"Feb 7, 2015",-5.829
"Feb 14, 2015",
"Feb 14, 2015",
"Feb 23, 2015",
"Mar 11, 2015",
"Apr 12, 2015",
"May 14, 2015",
"May 21, 2015",
"May 30, 2015",
"Jun 6, 2015",27.082
"Jun 6, 2015",27.159
"Jun 22, 2015",
"Jun 22, 2015",
"Jul 1, 2015",
"Jul 8, 2015",
"Jul 8, 2015",
"Jul 17, 2015",
"Jul 24, 2015",
"Jul 24, 2015",
"Aug 2, 2015",
"Aug 9, 2015",23.973
"Aug 9, 2015",23.95
"Aug 25, 2015",
"Aug 25, 2015",
"Sep 3, 2015",
"Sep 10, 2015",
"Sep 10, 2015",
"Sep 19, 2015",
"Sep 26, 2015",
"Sep 26, 2015",
"Oct 5, 2015",
"Oct 12, 2015",4.591
"Oct 12, 2015",4.569
"Oct 28, 2015",
"Oct 28, 2015",
"Nov 6, 2015",
"Nov 13, 2015",
"Nov 13, 2015",
"Nov 22, 2015",
"Dec 8, 2015",4.23
"Dec 15, 2015",
"Dec 24, 2015",
"Dec 31, 2015",-4.362
"Jan 9, 2016",
"Jan 16, 2016",
"Feb 17, 2016",
"Feb 26, 2016",
"Mar 4, 2016",-2.257
"Mar 4, 2016",-2.292
"Mar 13, 2016",
"Mar 29, 2016",
"Apr 5, 2016",
"Apr 5, 2016",
"Apr 30, 2016",9.71
"May 7, 2016",17.745
"May 7, 2016",17.72
"May 16, 2016",
"May 23, 2016",22.765
"May 23, 2016",22.753
"Jun 1, 2016",
"Jun 8, 2016",17.721
"Jun 8, 2016",17.702
"Jun 24, 2016",28.483
"Jun 24, 2016",28.552
"Jul 3, 2016",
"Jul 10, 2016",17.123
"Jul 10, 2016",17.11
"Jul 19, 2016",
"Jul 26, 2016",22.282
"Jul 26, 2016",22.258
"Aug 4, 2016",
"Aug 11, 2016",
"Aug 11, 2016",
"Aug 20, 2016",
"Aug 27, 2016",24.479
"Aug 27, 2016",24.49
"Sep 5, 2016",
"Sep 12, 2016",23.502
"Sep 12, 2016",23.513
"Sep 21, 2016",
"Sep 28, 2016",
"Sep 28, 2016",
"Oct 7, 2016",5.253
"Oct 14, 2016",
"Oct 23, 2016",
"Oct 30, 2016",
"Nov 8, 2016",
"Dec 10, 2016",
"Dec 17, 2016",-5.304
"Jan 11, 2017",
"Jan 18, 2017",-10.128
"Jan 18, 2017",-10.136
"Jan 27, 2017",-5.259
"Feb 19, 2017",
"Feb 19, 2017",
"Feb 28, 2017",
"Mar 16, 2017",1.568
"Apr 1, 2017",10.907
"May 3, 2017",
"May 10, 2017",
"May 10, 2017",
"May 19, 2017",22.746
"May 26, 2017",17.349
"May 26, 2017",17.323
"Jun 11, 2017",
"Jun 11, 2017",
"Jun 20, 2017",22.338
"Jun 27, 2017",
"Jun 27, 2017",
"Jul 6, 2017",
"Jul 13, 2017",
"Jul 13, 2017",
"Jul 22, 2017",
"Jul 29, 2017",17.877
"Jul 29, 2017",17.893
"Aug 7, 2017",
"Aug 14, 2017",17.554
"Aug 14, 2017",17.554
"Aug 23, 2017",
"Aug 30, 2017",21.16
"Aug 30, 2017",21.175
"Sep 8, 2017",
"Sep 15, 2017",
"Sep 15, 2017",
"Oct 1, 2017",9.102
"Oct 1, 2017",9.076
"Oct 17, 2017",16.442
"Oct 17, 2017",16.415
"Oct 26, 2017",
"Nov 2, 2017",
"Nov 11, 2017",
"Nov 18, 2017",
"Nov 27, 2017",
"Dec 13, 2017",
"Jan 5, 2018",
"Jan 14, 2018",-5.966
"Jan 21, 2018",
"Jan 21, 2018",
"Jan 30, 2018",
"Feb 6, 2018",-8.869
"Feb 6, 2018",-8.963
"Feb 15, 2018",
"Feb 22, 2018",-6.64
"Feb 22, 2018",-7.168
"Mar 3, 2018",
"Mar 10, 2018",
"Mar 19, 2018",-9.727
"Apr 4, 2018",
"Apr 20, 2018",17.361
"May 6, 2018",16.466
"May 22, 2018",
"Jun 7, 2018",22.188
"Jun 14, 2018",
"Jun 23, 2018",
"Jun 30, 2018",
"Jun 30, 2018",
"Jul 9, 2018",
"Jul 16, 2018",20.467
"Jul 16, 2018",
"Jul 25, 2018",22.96
"Aug 1, 2018",27.974
"Aug 1, 2018",27.955
"Aug 10, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 26, 2018",
"Sep 2, 2018",
"Sep 2, 2018",
"Sep 11, 2018",
"Sep 18, 2018",18.541
"Sep 18, 2018",18.506
"Sep 27, 2018",
"Oct 4, 2018",
"Oct 4, 2018",
"Oct 13, 2018",16.7
"Oct 20, 2018",
"Oct 20, 2018",
"Nov 5, 2018",5.842
"Nov 5, 2018",5.638
"Nov 14, 2018",
"Nov 30, 2018",
"Dec 23, 2018",
"Jan 17, 2019",
"Feb 9, 2019",
"Feb 9, 2019",
"Feb 18, 2019",4.385
"Feb 25, 2019",1.58
"Feb 25, 2019",1.593
"Mar 6, 2019",
"Mar 13, 2019",
"Mar 13, 2019",
"Mar 22, 2019",7.46
"Mar 29, 2019",
"Apr 7, 2019",
"Apr 23, 2019",
"Apr 30, 2019",6.281
"Apr 30, 2019",6.342
"May 25, 2019",16.306
"Jun 1, 2019",
"Jun 1, 2019",
"Jun 10, 2019",
"Jun 17, 2019",20.271
"Jun 17, 2019",20.239
"Jun 26, 2019",31.682
"Jul 3, 2019",16.381
"Jul 3, 2019",16.375
"Jul 19, 2019",
"Jul 28, 2019",
