system:time_start,LST_C_L5
"Apr 15, 1984",
"May 17, 1984",
"Jun 18, 1984",
"Jun 25, 1984",-4.909
"Jul 11, 1984",32.743
"Aug 5, 1984",25.84
"Sep 29, 1984",
"Oct 15, 1984",
"Oct 31, 1984",12.269
"Nov 9, 1984",
"Dec 2, 1984",
"Jan 19, 1985",-15.944
"Jan 28, 1985",
"Mar 24, 1985",-4.201
"Apr 18, 1985",-0.769
"May 11, 1985",
"Jun 5, 1985",27.117
"Jul 7, 1985",
"Aug 24, 1985",21.023
"Aug 31, 1985",22.027
"Nov 12, 1985",
"Nov 28, 1985",-12.583
"Jan 15, 1986",-28.003
"Feb 7, 1986",
"Feb 23, 1986",
"Mar 4, 1986",
"Mar 20, 1986",-0.642
"Apr 21, 1986",
"Apr 28, 1986",-0.504
"May 7, 1986",15.814
"May 14, 1986",18.99
"May 23, 1986",20.114
"Jun 15, 1986",23.333
"Jun 24, 1986",
"Jul 1, 1986",24.805
"Jul 10, 1986",
"Jul 17, 1986",22.749
"Aug 2, 1986",
"Aug 18, 1986",
"Sep 3, 1986",
"Sep 12, 1986",
"Sep 19, 1986",8.195
"Sep 28, 1986",
"Oct 14, 1986",10.415
"Oct 21, 1986",
"Oct 30, 1986",
"Nov 15, 1986",6.221
"Dec 1, 1986",-0.081
"Jan 25, 1987",
"Feb 26, 1987",-11.949
"Mar 14, 1987",-12.43
"Mar 30, 1987",
"Apr 8, 1987",
"Apr 24, 1987",-0.003
"May 1, 1987",
"May 10, 1987",-1.938
"May 17, 1987",
"May 26, 1987",
"Jun 2, 1987",
"Jul 4, 1987",
"Jul 20, 1987",
"Aug 21, 1987",
"Sep 22, 1987",
"Oct 8, 1987",
"Oct 24, 1987",
"Feb 6, 1988",
"Feb 29, 1988",
"Apr 10, 1988",-5.244
"Apr 26, 1988",
"May 3, 1988",
"May 12, 1988",
"May 28, 1988",
"Jun 29, 1988",
"Jul 6, 1988",
"Jul 22, 1988",
"Jul 31, 1988",
"Aug 7, 1988",20.458
"Aug 16, 1988",
"Sep 1, 1988",13.083
"Sep 8, 1988",11.59
"Sep 24, 1988",
"Oct 3, 1988",12.034
"Oct 19, 1988",
"Oct 26, 1988",-4.542
"Nov 4, 1988",-11.32
"Nov 11, 1988",-2.474
"Jan 30, 1989",-10.073
"Mar 19, 1989",-5.66
"Mar 28, 1989",-4.074
"Apr 13, 1989",-3.072
"May 15, 1989",11.881
"Jun 7, 1989",
"Jun 23, 1989",
"Jul 25, 1989",
"Aug 10, 1989",
"Aug 19, 1989",
"Aug 26, 1989",
"Sep 11, 1989",
"Sep 20, 1989",14.228
"Oct 6, 1989",5.563
"Oct 13, 1989",
"Oct 22, 1989",12.675
