system:time_start,LST_C_L8
"Mar 29, 2013",
"Apr 15, 2013",0.909
"Apr 22, 2013",
"May 1, 2013",
"May 17, 2013",14.744
"Jun 9, 2013",
"Jun 18, 2013",32.123
"Jul 4, 2013",
"Jul 20, 2013",
"Jul 27, 2013",29.378
"Aug 5, 2013",26.832
"Aug 12, 2013",
"Aug 21, 2013",
"Aug 28, 2013",
"Sep 6, 2013",21.165
"Sep 13, 2013",
"Sep 29, 2013",8.998
"Oct 8, 2013",10.991
"Oct 15, 2013",
"Oct 24, 2013",
"Oct 31, 2013",3.67
"Nov 16, 2013",
"Nov 25, 2013",
"Dec 2, 2013",
"Dec 18, 2013",-9.618
"Jan 3, 2014",-2.832
"Jan 12, 2014",
"Jan 19, 2014",
"Feb 4, 2014",-3.737
"Feb 13, 2014",
"Feb 20, 2014",
"Mar 1, 2014",
"Mar 8, 2014",0.691
"Apr 2, 2014",-2.403
"Apr 9, 2014",
"Apr 18, 2014",
"Apr 25, 2014",
"May 11, 2014",
"May 20, 2014",22.85
"Jun 5, 2014",
"Jun 12, 2014",
"Jun 28, 2014",
"Jul 7, 2014",
"Jul 14, 2014",
"Jul 23, 2014",
"Jul 30, 2014",
"Aug 8, 2014",
"Aug 15, 2014",
"Aug 24, 2014",
"Aug 31, 2014",
"Sep 9, 2014",
"Sep 16, 2014",
"Sep 25, 2014",
"Oct 2, 2014",
"Oct 11, 2014",
"Oct 18, 2014",
"Oct 27, 2014",8.08
"Nov 3, 2014",
"Nov 12, 2014",
"Dec 14, 2014",
"Dec 21, 2014",
"Dec 30, 2014",
"Jan 6, 2015",-15.939
"Jan 15, 2015",
"Jan 31, 2015",
"Feb 7, 2015",-8.663
"Feb 16, 2015",-4.646
"Feb 23, 2015",
"Mar 11, 2015",
"Mar 20, 2015",-5.82
"Apr 5, 2015",
"Apr 12, 2015",
"Apr 21, 2015",1.36
"May 7, 2015",
"May 14, 2015",
"May 23, 2015",
"May 30, 2015",
"Jun 8, 2015",
"Jun 24, 2015",
"Jul 1, 2015",
"Jul 10, 2015",14.844
"Jul 17, 2015",
"Jul 26, 2015",
"Aug 2, 2015",
"Aug 11, 2015",
"Aug 27, 2015",
"Sep 3, 2015",
"Sep 12, 2015",
"Sep 19, 2015",
"Sep 28, 2015",
"Oct 5, 2015",
"Nov 6, 2015",
"Nov 22, 2015",
"Dec 1, 2015",
"Dec 8, 2015",
"Dec 24, 2015",
"Jan 2, 2016",
"Jan 9, 2016",
"Jan 18, 2016",
"Feb 3, 2016",
"Feb 26, 2016",
"Mar 13, 2016",
"Mar 22, 2016",
"Mar 29, 2016",
"Apr 7, 2016",
"Apr 23, 2016",
"Apr 30, 2016",-2.172
"May 9, 2016",
"May 16, 2016",
"May 25, 2016",25.933
"Jun 1, 2016",
"Jun 10, 2016",
"Jul 3, 2016",
"Jul 12, 2016",
"Jul 19, 2016",
"Jul 28, 2016",
"Aug 4, 2016",18.389
"Aug 20, 2016",
"Aug 29, 2016",
"Sep 5, 2016",
"Sep 14, 2016",
"Sep 21, 2016",
"Sep 30, 2016",
"Oct 7, 2016",-0.873
"Oct 16, 2016",
"Oct 23, 2016",
"Nov 1, 2016",
"Nov 8, 2016",
"Dec 3, 2016",
"Dec 10, 2016",
"Jan 11, 2017",
"Jan 27, 2017",-6.422
"Feb 28, 2017",
"Mar 16, 2017",-1.56
"Mar 25, 2017",
"Apr 1, 2017",1.122
"Apr 10, 2017",2.145
"May 3, 2017",
"May 12, 2017",
"May 19, 2017",
"May 28, 2017",27.351
"Jun 13, 2017",
"Jun 20, 2017",28.247
"Jun 29, 2017",
"Jul 6, 2017",
"Jul 15, 2017",
"Jul 22, 2017",18.562
"Jul 31, 2017",
"Aug 7, 2017",21.065
"Aug 16, 2017",
"Aug 23, 2017",
"Sep 8, 2017",
"Oct 19, 2017",14.203
"Oct 26, 2017",
"Nov 4, 2017",
"Nov 11, 2017",
"Nov 27, 2017",
"Dec 13, 2017",
"Jan 14, 2018",
"Jan 30, 2018",
"Feb 15, 2018",
"Feb 24, 2018",
"Mar 3, 2018",
"Mar 19, 2018",
"Mar 28, 2018",
"Apr 4, 2018",
"Apr 13, 2018",
"Apr 20, 2018",
"Apr 29, 2018",
"May 6, 2018",16.676
"May 15, 2018",
"May 22, 2018",
"May 31, 2018",27.281
"Jun 7, 2018",26.516
"Jun 16, 2018",
"Jun 23, 2018",
"Jul 2, 2018",21.86
"Jul 9, 2018",
"Jul 25, 2018",24.441
"Aug 3, 2018",
"Aug 10, 2018",
"Aug 19, 2018",
"Aug 26, 2018",
"Sep 4, 2018",
"Sep 11, 2018",17.331
"Sep 20, 2018",23.744
"Sep 27, 2018",14.984
"Oct 6, 2018",6.353
"Oct 13, 2018",15.43
"Oct 22, 2018",7.448
"Nov 7, 2018",9.572
"Nov 14, 2018",
"Nov 30, 2018",
"Dec 9, 2018",
"Jan 17, 2019",
"Feb 18, 2019",-2.811
"Feb 27, 2019",
"Mar 6, 2019",
"Mar 15, 2019",
"Mar 22, 2019",0.04
"Mar 31, 2019",
"Apr 7, 2019",0.715
"Apr 16, 2019",0.474
"Apr 23, 2019",
"May 2, 2019",1.871
"May 18, 2019",
"May 25, 2019",
"Jun 3, 2019",25.953
"Jun 10, 2019",
"Jun 19, 2019",
"Jun 26, 2019",36.635
"Jul 21, 2019",
