system:time_start,LST_C_L7
"Jul 13, 1999",
"Jul 20, 1999",22.225
"Jul 29, 1999",
"Aug 5, 1999",
"Aug 14, 1999",
"Aug 21, 1999",
"Aug 30, 1999",
"Sep 6, 1999",17.244
"Sep 15, 1999",20.584
"Sep 22, 1999",
"Oct 1, 1999",
"Oct 8, 1999",5.897
"Oct 17, 1999",
"Oct 24, 1999",7.699
"Nov 2, 1999",
"Nov 18, 1999",
"Dec 11, 1999",
"Dec 20, 1999",-11.134
"Jan 12, 2000",-8.643
"Jan 28, 2000",-8.267
"Feb 6, 2000",
"Feb 13, 2000",
"Feb 22, 2000",
"Feb 29, 2000",
"Mar 16, 2000",
"Mar 25, 2000",
"Apr 1, 2000",
"Apr 10, 2000",
"Apr 17, 2000",
"Apr 26, 2000",13.043
"May 3, 2000",9.294
"May 12, 2000",
"May 19, 2000",
"May 28, 2000",16.097
"Jun 4, 2000",22.756
"Jun 13, 2000",22.517
"Jun 20, 2000",24.223
"Jun 29, 2000",
"Jul 6, 2000",
"Jul 22, 2000",
"Jul 31, 2000",
"Aug 7, 2000",
"Aug 16, 2000",
"Aug 23, 2000",
"Sep 1, 2000",
"Sep 17, 2000",
"Sep 24, 2000",12.013
"Oct 19, 2000",
"Nov 11, 2000",1.956
"Nov 20, 2000",
"Nov 27, 2000",
"Dec 6, 2000",
"Dec 13, 2000",
"Dec 22, 2000",-6.153
"Dec 29, 2000",
"Jan 14, 2001",-10.46
"Jan 30, 2001",
"Feb 8, 2001",
"Feb 15, 2001",3.707
"Feb 24, 2001",
"Mar 3, 2001",
"Mar 12, 2001",
"Mar 19, 2001",
"Mar 28, 2001",
"Apr 4, 2001",3.738
"Apr 13, 2001",
"Apr 29, 2001",12.42
"May 15, 2001",
"May 22, 2001",
"May 31, 2001",
"Jun 7, 2001",
"Jun 23, 2001",
"Jul 2, 2001",17.45
"Jul 9, 2001",
"Jul 18, 2001",15.617
"Jul 25, 2001",
"Aug 3, 2001",22.881
"Aug 10, 2001",
"Aug 26, 2001",22.404
"Sep 11, 2001",
"Sep 20, 2001",
"Oct 6, 2001",
"Oct 13, 2001",15.607
"Oct 22, 2001",
"Oct 29, 2001",
"Nov 14, 2001",
"Nov 23, 2001",
"Dec 9, 2001",-9.332
"Dec 16, 2001",
"Jan 10, 2002",
"Jan 17, 2002",
"Feb 2, 2002",
"Feb 11, 2002",
"Feb 18, 2002",
"Feb 27, 2002",
"Mar 6, 2002",8.124
"Mar 15, 2002",5.168
"Mar 31, 2002",
"Apr 7, 2002",
"Apr 16, 2002",
"Apr 23, 2002",
"May 2, 2002",15.682
"May 9, 2002",17.972
"May 18, 2002",
"May 25, 2002",16.185
"Jun 3, 2002",18.46
"Jun 10, 2002",
"Jun 19, 2002",30.422
"Jun 26, 2002",
"Jul 5, 2002",16.145
"Jul 12, 2002",17.047
"Jul 21, 2002",21.294
"Jul 28, 2002",20.082
"Aug 22, 2002",
"Aug 29, 2002",17.671
"Sep 7, 2002",
"Sep 14, 2002",
"Sep 30, 2002",
"Oct 16, 2002",
"Oct 25, 2002",
"Nov 1, 2002",
"Nov 10, 2002",
"Nov 17, 2002",
"Nov 26, 2002",
"Dec 12, 2002",-5.284
"Dec 19, 2002",
"Jan 20, 2003",
"Jan 29, 2003",
"Feb 5, 2003",
"Feb 14, 2003",-7.988
"Feb 21, 2003",-1.898
"Mar 18, 2003",-0.363
"Mar 25, 2003",7.369
"Apr 10, 2003",
"Apr 19, 2003",
"Apr 26, 2003",1.651
"May 5, 2003",24.784
"May 12, 2003",
"May 21, 2003",
"May 28, 2003",
"Jul 15, 2003",20.056
"Sep 17, 2003",16.143
"Sep 26, 2003",14.534
"Oct 28, 2003",-1.184
"Nov 13, 2003",
"Nov 29, 2003",
"Dec 15, 2003",
"Dec 22, 2003",
"Jan 23, 2004",-16.789
"Feb 17, 2004",-3.72
"Mar 27, 2004",
"Apr 28, 2004",
"May 30, 2004",16.307
"Jun 8, 2004",20.549
"Jun 15, 2004",
"Jun 24, 2004",15.908
"Aug 2, 2004",16.7
"Sep 3, 2004",19.814
"Sep 19, 2004",16.203
"Oct 5, 2004",17.592
"Oct 30, 2004",10.132
"Dec 1, 2004",1.679
"Dec 8, 2004",
"Dec 17, 2004",
"Jan 18, 2005",
"Mar 30, 2005",
"Apr 15, 2005",
"Apr 24, 2005",
"May 1, 2005",
"May 10, 2005",
"May 26, 2005",20.077
"Jun 2, 2005",14.822
"Jun 27, 2005",
"Jul 4, 2005",17.29
"Jul 20, 2005",
"Jul 29, 2005",
"Aug 5, 2005",
"Sep 22, 2005",13.009
"Oct 1, 2005",
"Oct 8, 2005",10.899
"Nov 9, 2005",8.911
"Nov 18, 2005",-4.405
"Dec 4, 2005",
"Jan 28, 2006",-4.702
"Feb 6, 2006",-9.923
"Feb 13, 2006",
"May 4, 2006",9.859
"Jun 5, 2006",
"Jun 14, 2006",23.827
"Jun 21, 2006",25.775
"Jul 16, 2006",
"Sep 25, 2006",
"Oct 27, 2006",
"Dec 7, 2006",
"Dec 14, 2006",1.836
"Dec 23, 2006",1.357
"Jan 8, 2007",
"Jan 15, 2007",-0.93
"Feb 9, 2007",
"Mar 13, 2007",9.817
"Mar 29, 2007",
"Apr 5, 2007",2.734
"Apr 14, 2007",16.451
"Apr 21, 2007",11.042
"Apr 30, 2007",9.789
"May 23, 2007",
"Jun 8, 2007",22.662
"Jun 24, 2007",
"Jul 19, 2007",
"Jul 26, 2007",19.721
"Oct 14, 2007",6.07
"Dec 17, 2007",
"Dec 26, 2007",-3.516
"Jan 11, 2008",0.457
"Feb 3, 2008",-6.08
"Feb 12, 2008",0.801
"Feb 19, 2008",
"Feb 28, 2008",
"Mar 6, 2008",-4.211
"Mar 15, 2008",1.402
"Mar 31, 2008",
"May 2, 2008",
"May 9, 2008",14.98
"May 25, 2008",
"Jun 10, 2008",
"Jun 26, 2008",
"Jul 28, 2008",21.564
"Aug 6, 2008",18.752
"Aug 13, 2008",
"Oct 9, 2008",10.071
"Nov 1, 2008",8.01
"Dec 3, 2008",-5.442
"Dec 28, 2008",-10.398
"Jan 13, 2009",-0.964
"Feb 5, 2009",2.717
"Mar 18, 2009",-1.182
"Mar 25, 2009",-6.355
"Apr 3, 2009",9.136
"Apr 10, 2009",11.312
"Apr 19, 2009",8.098
"Apr 26, 2009",
"Jun 13, 2009",14.107
"Jun 29, 2009",
"Jul 24, 2009",
"Aug 9, 2009",
"Aug 16, 2009",22.671
"Aug 25, 2009",
"Sep 1, 2009",22.001
"Sep 10, 2009",16.848
"Sep 26, 2009",12.931
"Nov 20, 2009",11.927
"Apr 6, 2010",
"Apr 13, 2010",
"Apr 22, 2010",-2.696
"Apr 29, 2010",14.181
"May 24, 2010",18.261
"Jun 9, 2010",
"Jun 25, 2010",
"Jul 11, 2010",29.337
"Jul 27, 2010",
"Sep 20, 2010",10.932
"Oct 22, 2010",0.154
"Mar 8, 2011",0.745
"Mar 15, 2011",6.365
"Mar 24, 2011",7.929
"Apr 9, 2011",10.124
"Apr 16, 2011",
"Apr 25, 2011",12.092
"May 2, 2011",
"Jun 3, 2011",
"Jun 28, 2011",21.169
"Aug 6, 2011",
"Aug 22, 2011",25.241
"Aug 31, 2011",
"Sep 16, 2011",14.729
"Sep 23, 2011",9.907
"Oct 2, 2011",17.09
"Oct 9, 2011",
"Oct 18, 2011",9.726
"Oct 25, 2011",5.59
"Nov 3, 2011",10.745
"Nov 10, 2011",
"Nov 19, 2011",
"Nov 26, 2011",
"Dec 5, 2011",
"Dec 12, 2011",
"Dec 28, 2011",
"Feb 14, 2012",
"Mar 17, 2012",10.107
"Mar 26, 2012",
"Apr 2, 2012",1.997
"Apr 11, 2012",
"Apr 18, 2012",
"Apr 27, 2012",16.687
"May 4, 2012",
"May 13, 2012",
"May 20, 2012",22.306
"May 29, 2012",
"Jun 21, 2012",
"Jun 30, 2012",28.419
"Jul 7, 2012",
"Jul 23, 2012",14.172
"Aug 1, 2012",
"Aug 8, 2012",
"Aug 17, 2012",18.597
"Sep 9, 2012",19.443
"Sep 18, 2012",17.321
"Sep 25, 2012",13.101
"Oct 4, 2012",
"Oct 11, 2012",6.065
"Oct 20, 2012",18.978
"Nov 21, 2012",3.848
"Dec 7, 2012",
"Mar 4, 2013",-1.365
"Mar 20, 2013",
"Mar 29, 2013",
"Apr 14, 2013",
"Apr 21, 2013",5.013
"Apr 30, 2013",
"Jun 8, 2013",
"Jun 17, 2013",26.582
"Jul 3, 2013",
"Jul 10, 2013",19.935
"Jul 19, 2013",
"Jul 26, 2013",
"Aug 4, 2013",24.554
"Aug 11, 2013",
"Sep 5, 2013",18.286
"Sep 21, 2013",
"Sep 28, 2013",9.048
"Oct 7, 2013",9.327
"Oct 14, 2013",7.289
"Oct 23, 2013",
"Nov 8, 2013",
"Nov 15, 2013",
"Dec 1, 2013",
"Dec 10, 2013",-0.164
"Dec 17, 2013",3.661
"Dec 26, 2013",
"Jan 2, 2014",
"Jan 11, 2014",
"Jan 18, 2014",0.87
"Feb 3, 2014",
"Feb 12, 2014",-2.573
"Feb 28, 2014",
"Mar 7, 2014",2.906
"Apr 1, 2014",7.413
"Apr 8, 2014",
"Apr 17, 2014",2.717
"Apr 24, 2014",
"May 10, 2014",
"May 19, 2014",15.597
"May 26, 2014",
"Jun 4, 2014",
"Jun 11, 2014",30.154
"Jun 20, 2014",
"Jun 27, 2014",
"Jul 6, 2014",20.847
"Jul 13, 2014",
"Jul 22, 2014",
"Aug 7, 2014",
"Aug 23, 2014",12.316
"Aug 30, 2014",14.408
